,id,title,release_date,popularity,vote_average,vote_count
97,315162,Puss in Boots: The Last Wish,2022-12-07,190.626,8.241,7189
98,265177,Mommy,2014-09-19,26.161,8.2,2633
99,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,87.472,8.231,3670
100,290098,The Handmaiden,2016-06-01,73.711,8.228,3519
101,504253,I Want to Eat Your Pancreas,2018-09-01,34.611,8.2,1462
102,361743,Top Gun: Maverick,2022-05-24,145.184,8.223,8498
103,110420,Wolf Children,2012-07-21,26.768,8.222,2187
104,16869,Inglourious Basterds,2009-08-02,84.691,8.217,21529
105,654299,Out of the Clear Blue Sky,2019-12-24,13.866,8.2,333
106,98,Gladiator,2000-05-04,88.272,8.216,17733
107,694,The Shining,1980-05-23,56.805,8.216,16843
108,603,The Matrix,1999-03-31,170.965,8.214,24732
109,522924,The Art of Racing in the Rain,2019-08-08,36.74,8.2,1407
110,857,Saving Private Ryan,1998-07-24,91.441,8.213,15210
111,354912,Coco,2017-10-27,119.956,8.212,18704
112,37257,Witness for the Prosecution,1957-12-17,26.156,8.2,1304
113,441130,Wolfwalkers,2020-10-26,28.784,8.21,1107
114,284,The Apartment,1960-06-21,29.054,8.2,2152
115,537061,Steven Universe: The Movie,2019-09-02,31.999,8.2,806
116,185,A Clockwork Orange,1971-12-19,51.49,8.207,12407
117,1124,The Prestige,2006-10-19,69.015,8.204,15366
118,11,Star Wars,1977-05-25,172.037,8.204,19866
119,50014,The Help,2011-08-09,48.511,8.2,7842
120,20334,The Shop Around the Corner,1940-01-12,25.144,8.202,677
121,11324,Shutter Island,2010-02-14,87.781,8.202,23177
122,24188,Il Sorpasso,1962-12-05,13.909,8.199,677
123,5156,Bicycle Thieves,1948-11-24,22.25,8.201,2263
124,490,The Seventh Seal,1957-02-16,29.892,8.198,2825
125,556574,Hamilton,2020-07-03,18.397,8.2,1312
126,797,Persona,1966-10-18,23.112,8.195,2027
127,810693,Jujutsu Kaisen 0,2021-12-24,80.003,8.194,1259
128,324786,Hacksaw Ridge,2016-10-07,112.317,8.193,13217
129,1026227,There's Still Tomorrow,2023-10-26,25.789,8.193,916
130,476292,Maquia: When the Promised Flower Blooms,2018-02-24,31.946,8.2,596
131,20941,Innocent Voices,2005-01-28,25.163,8.188,451
132,610892,Violet Evergarden: Eternity and the Auto Memory Doll,2019-09-06,29.017,8.2,343
133,629,The Usual Suspects,1995-07-19,69.893,8.187,9996
134,313106,Doctor Who: The Day of the Doctor,2013-11-23,14.111,8.2,724
135,26451,Investigation of a Citizen Above Suspicion,1970-10-16,16.657,8.2,735
136,77,Memento,2000-10-11,44.776,8.184,14302
137,10098,The Kid,1921-01-21,20.471,8.183,1982
138,620683,My Mom Is a Character 3,2019-12-26,7.693,8.2,462
139,575813,Better Days,2019-10-25,22.33,8.2,395
140,92060,Michael Jackson's Thriller,1983-11-14,15.523,8.2,642
141,68718,Django Unchained,2012-12-25,82.848,8.178,25482
142,592350,My Hero Academia: Heroes Rising,2019-12-20,54.534,8.2,1111
143,851644,20th Century Girl,2022-10-06,98.124,8.173,610
144,426,Vertigo,1958-05-28,39.716,8.169,5477
145,1398,Stalker,1979-05-25,27.183,8.168,2011
146,111,Scarface,1983-12-09,131.757,8.168,11293
147,1422,The Departed,2006-10-04,70.831,8.167,14350
148,18148,Tokyo Story,1953-11-03,21.954,8.2,987
149,422,8½,1963-02-14,20.043,8.164,2162
150,791373,Zack Snyder's Justice League,2021-03-18,99.122,8.163,9644
151,289,Casablanca,1943-01-15,44.049,8.163,5168
152,475557,Joker,2019-10-01,252.654,8.162,24411
153,872,Singin' in the Rain,1952-04-09,33.418,8.161,2984
154,606856,Togo,2019-12-20,34.153,8.156,1932
155,103,Taxi Driver,1976-02-09,114.744,8.154,11700
156,517814,Capernaum,2018-09-20,26.08,8.2,1609
157,133919,Scenes from a Marriage,1974-09-15,10.899,8.2,323
158,81481,Silenced,2011-09-22,26.604,8.2,572
159,489,Good Will Hunting,1997-12-05,94.555,8.153,11767
160,348,Alien,1979-05-25,165.884,8.152,13816
161,399106,Piper,2016-06-16,18.168,8.2,1564
162,666,Central Station,1998-11-20,16.87,8.149,828
163,398818,Call Me by Your Name,2017-09-01,61.677,8.148,11697
164,518068,Along with the Gods: The Last 49 Days,2018-08-01,42.772,8.143,606
165,531428,Portrait of a Lady on Fire,2019-09-18,31.527,8.144,2389
166,55823,The Great War,1959-10-28,6.969,8.1,329
167,406997,Wonder,2017-11-13,45.456,8.1,7644
168,37165,The Truman Show,1998-06-04,85.454,8.14,17596
169,19,Metropolis,1927-02-06,80.931,8.1,2584
170,20914,My Friends,1975-10-24,11.933,8.1,679
171,755812,"Miraculous World: New York, United HeroeZ",2020-09-25,35.624,8.1,1057
172,470044,The Hate U Give,2018-10-19,31.054,8.1,2050
173,762975,Purple Hearts,2022-07-29,53.238,8.1,2324
174,508442,Soul,2020-12-25,72.536,8.133,10015
175,600,Full Metal Jacket,1987-06-26,35.152,8.134,10056
176,600354,The Father,2020-12-23,35.447,8.13,3001
177,458220,Palmer,2021-01-28,50.872,8.128,1460
178,500,Reservoir Dogs,1992-09-02,76.176,8.128,13804
179,614,Wild Strawberries,1957-12-26,20.802,8.127,1542
180,411088,The Invisible Guest,2017-01-06,50.729,8.122,4373
181,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,34.447,8.121,5356
182,100,"Lock, Stock and Two Smoking Barrels",1998-08-28,23.759,8.12,6306
183,996,Double Indemnity,1944-07-06,25.328,8.1,1700
184,38288,I corti,1996-03-29,7.019,8.1,341
185,555604,Guillermo del Toro's Pinocchio,2022-10-22,49.185,8.116,2734
186,663558,New Gods: Nezha Reborn,2021-02-06,31.203,8.1,395
187,532067,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,2019-08-30,34.09,8.1,510
188,439,La Dolce Vita,1960-02-05,28.972,8.1,1755
189,280,Terminator 2: Judgment Day,1991-07-03,86.956,8.113,12302
190,843,In the Mood for Love,2000-09-29,41.713,8.112,2527
191,872585,Oppenheimer,2023-07-19,475.0,8.111,7654
192,664767,Mortal Kombat Legends: Scorpion's Revenge,2020-04-12,67.325,8.1,1339
193,640344,Me Against You: Mr. S's Vendetta,2020-01-17,5.79,8.1,463
194,20532,Sansho the Bailiff,1954-03-31,11.802,8.1,347
195,705,All About Eve,1950-11-09,22.683,8.102,1450
196,655,"Paris, Texas",1984-07-16,44.99,8.1,1687
197,239,Some Like It Hot,1959-03-19,40.117,8.1,3311
198,11878,Yojimbo,1961-04-25,23.961,8.1,1351
199,9702,Bound by Honor,1993-02-05,54.516,8.1,1211
200,103663,The Hunt,2012-10-25,29.918,8.099,3958
201,46738,Incendies,2010-09-17,34.109,8.099,2510
202,12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,106.344,8.098,19885
203,38,Eternal Sunshine of the Spotless Mind,2004-03-19,93.275,8.098,14322
204,548,Rashomon,1950-08-26,24.857,8.097,2072
205,146233,Prisoners,2013-09-19,54.195,8.094,11264
206,2457,Children of Paradise,1945-03-15,11.901,8.1,380
207,832,M,1931-05-11,34.524,8.1,2051
208,406,La Haine,1995-05-31,36.481,8.091,3832
209,397567,Along with the Gods: The Two Worlds,2017-12-20,47.09,8.09,957
210,387,Das Boot,1981-09-17,40.866,8.088,2094
211,24382,Big Deal on Madonna Street,1958-07-26,9.97,8.1,674
212,10681,WALL·E,2008-06-22,91.845,8.087,18104
213,472454,Ayla: The Daughter of War,2017-10-27,19.389,8.1,344
214,3780,Red Beard,1965-04-03,14.563,8.086,325
215,1050035,Monster,2023-06-02,59.894,8.075,312
216,4348,Pride & Prejudice,2005-09-16,75.015,8.082,7728
217,7345,There Will Be Blood,2007-12-26,29.236,8.082,6305
218,149871,The Tale of The Princess Kaguya,2013-11-23,32.862,8.1,1671
219,11645,Ran,1985-06-01,21.648,8.079,1449
220,62,2001: A Space Odyssey,1968-04-02,131.042,8.076,11022
221,1050035,Monster,2023-06-02,59.894,8.075,312
